chat_text,emotion,text_response
How do you feel about not being there for your significant other during a difficult time?,remorse,I feel awful for not providing the support they needed. I deeply regret not being more present and am determined to make it up to them.
i must not use this finger until the cut heals.,neutral,it might take a day or two to heal.
i love baseball.,neutral,so do i.
i hate homework.,neutral,are you going to college?
paper can be dangerous.,disappointment,"it hurts, too."
did he understand what the problem is?,neutral,yes. i told him our doorbell doesn't work.
all the news in only 50 pages.,neutral,i like the political cartoons.
me too. they canceled their other news magazines.,neutral,so did mine!
of course.,love,i love baseball.
i think i'll buy both of them.,caring,you'd better try them on first.
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,neutral,that's exactly how i felt.
"especially if it's the same work, over and over.",neutral,but that's what most people do.
bring a glove to catch a foul ball.,neutral,no. i'll just use my cap to catch a foul ball.
"456 cherry drive, pasadena, ca 91170.",approval,that's correct.
i missed you too.,curiosity,why haven't you tried to come see me then?
i don't know. maybe it was from a shopping cart.,neutral,those shopping carts are dangerous.
i heard that it's going to be warm this weekend.,neutral,is it going to be perfect beach weather?
i don't like our flag.,neutral,what's the matter with it?
singers are supposed to sound good.,admiration,"they should look good, too."
"some men do, but not me.",neutral,i'm watching you.
it was before i was born.,neutral,now a stamp is 42 cents.
they always need more money.,neutral,it'll get worse before it gets better.
i haven't heard anything.,neutral,"my boss offered me a promotion, and i took it."
what else?,neutral,"i like all my classmates, too."
i appreciate that.,joy,you have no idea how happy i am for you.
what movie are you and your friend planning on watching?,neutral,not sure. is there a movie out that catches your eye?
"yes, the poems that rhyme and are easy to remember.",neutral,"like ""one, two, buckle my shoe."""
last month they told us about a mouse in a restaurant.,neutral,the weatherman tells us the temperature in every town.
you can travel all over the world.,neutral,i know. i went to china yesterday.
they're building a 3-story apartment building on the corner.,neutral,so we've got to sell before property values go down?
where does cheese come from?,neutral,it comes from cows.
tomorrow i'm going to buy an electric sharpener.,neutral,get one with the rubber suction cups on the bottom.
what does she do?,neutral,"just yesterday, i told her i wouldn't trade her for all the money in the world."
what's the weather like?,neutral,let me step outside and see.
it was love at first sight?,love,"yes, it was love at first sight."
"no, we won't have money for gas or food.",neutral,we'll be eating peanut butter sandwiches?
that is true. i hope it doesn't rain.,neutral,it wouldn't rain in the middle of the summer.
the sky is gray.,neutral,is it raining right now?
he's a good speaker.,admiration,and he's really smart.
i have a stomachache.,neutral,is it something you ate?
of course! people everywhere like good jokes.,neutral,what do you think people joke about the most?
are there any hobbies you do?,neutral,"when i have time, i sometimes draw and paint."
it certainly is.,neutral,you hit a white ball.
you know i don't like crowds.,neutral,let's go to an early movie.
that sounds like fun. let's do it.,neutral,i'll see you tomorrow then.
i want to be a baseball player when i grow up.,neutral,me too. i want to play for the yankees.
shots for what?,neutral,so it won't get sick. just like you get shots.
how do you like it?,neutral,do you see all this gray hair? it was totally black five years ago.
maybe i should see a doctor.,neutral,doctors are too expensive.
"yes, everybody gets the public broadcasting system.",neutral,it puts me to sleep.
the cat doesn't care about your homework.,neutral,the cat doesn't care about anything.
one or two tires were cut on each car.,neutral,how many cars?
it was nice talking to you.,neutral,why are you trying to rush me off the phone?
he might want to cut you open.,neutral,he might say i'm okay.
so how have you been lately?,admiration,i've actually been pretty good. you?
i love your outfit right now.,admiration,"well, i think you look nice today too."
"but when i sneak just one cigarette in the morning, she can smell it that evening!",admiration,"boy, that is a good nose."
i want to get a puppy for my son.,joy,that will make him so happy.
no one would hire you to flip hamburgers.,neutral,have you heard something that you're not telling me?
I received a prestigious fellowship to pursue my research interests!,pride,That's fantastic! Receiving a prestigious fellowship is a testament to your academic achievements and potential. You should be proud of your research interests and excited for the opportunities ahead!
what else can you do?,neutral,i'm a handyman.
are you really?,neutral,i'm serious. you deserved this promotion.
"it's the middle of summer, it shouldn't rain today.",disgust,that would be weird.
no. they said there are some things you can't explain.,neutral,so are they going to hold another election?
do you know which one he would like?,approval,"oh, yes, i took him there yesterday. he showed me one that he really liked."
i know that.,neutral,but you're doing 75.
"i have to say, my favorite movie is superbad.",curiosity,is that right? why?
that sounds delicious.,admiration,i know a good chinese restaurant.
of course. he stops the fastest cars.,neutral,my friend got a ticket for doing 75.
of course. did you?,disapproval,"i didn't want to, so i didn't."
what are they paying?,neutral,"up to $200 for each gun, no questions asked."
Did you watch that horror movie everyone's been talking about?,fear,"Yes, but I regretted it immediately. I couldn't sleep all night, every little noise made me jump."
all the radios will be on extra loud.,anger,your neighbors will hate you.
How did you feel when you received a surprise visit from your childhood best friend?,surprise,I was thrilled! I never expected them to show up out of the blue like that.
maybe. what is she like?,admiration,she's got a great personality.
"yes, dad, it was.",admiration,the son gave a nice speech about his father.
"okay, until next time then.",neutral,i'll call you so we can set that up.
did you need something?,neutral,do you want to do something tomorrow?
it sure isn't.,neutral,i got a ticket yesterday.
it's supposed to start at about eight.,neutral,how many invitations has she given out?
what's wrong with that?,neutral,it can be dangerous.
i love to go online.,admiration,the internet is amazing.
i'd have to say babe ruth.,neutral,most people would say that.
was there much damage?,neutral,my dad had to buy a new car.
i can't quit smoking.,neutral,of course you can.
Did you express remorse to your partner for forgetting your anniversary?,remorse,"Yes, I felt awful about forgetting such a special day. I apologized sincerely and planned a belated celebration to make up for it."
"no, we have a big dictionary in the classroom.",neutral,"well, i guess that's it."
"nothing, except my favorite color is blue.",neutral,maybe in your next life you'll have blue eyes.
"no, he didn't have time to do that.",neutral,"well, he's got plenty of time now!"
good luck with school.,gratitude,thank you very much.
How was your first day at the new gym?,embarrassment,"Embarrassing. I couldn't figure out how to use half of the machines, and then I accidentally walked into the wrong locker room. I just wanted to disappear."
i think i'll make a sandwich.,curiosity,what kind?
the cat is meowing. he's hungry.,neutral,okay. i'll feed him right now.
Were you sad about not being able to attend a family reunion due to work commitments?,sadness,"Yes, it's heartbreaking to miss out on spending time with my loved ones. I feel really disconnected."
so do i.,curiosity,how much is it?
"take me to a nice restaurant, not to mcdonald's.",admiration,but a nice restaurant costs money.
i've just been working really hard.,neutral,i've also been busy.
no. i already have a pen.,neutral,do you need a calculator?
that's not a good start.,neutral,then he didn't bother to apologize.
"if more people donate money, pbs could offer new shows.",neutral,who wants to donate? public tv should be free.
"every time we land or take off, my ears hurt so much.",neutral,"that's just the altitude change, i think."
"yes, i saw that movie the first day it came out in theaters.",neutral,didn't you laugh through the whole movie? i did.
so the cop will stop those cars?,neutral,of course. he stops the fastest cars.
How was your blind date?,embarrassment,"Awful. I spilled my drink on myself, then mispronounced the waiter's name, and finally, I accidentally knocked over a candle. I wanted to crawl under the table."
did he say what time?,neutral,yes. he said he'd be here at 9 o'clock.
you drink too much coffee.,love,but i love coffee.
i bought you a pair of pants.,gratitude,thank you.
i'll rinse the car first.,neutral,then we can scrub it with a wet sponge and soap.
Did you manage to find your missing pet?,relief,"Yes, after searching for hours, we found him hiding in the backyard. I'm so relieved he's safe and sound!"
most people would say that.,neutral,he changed the game.
have you taken anything for your cold?,neutral,"no, i just blow my nose a lot."
"yes, but i was stuck there all day while they looked for the bomb.",neutral,someday the bomb is going to be for real.
"so, they do a good job for the money.",neutral,"yes, they do."
"yesterday, a woman complained about a cell phone she bought on ebay.",neutral,was something wrong with the phone?
i know. i really want to go to the beach.,neutral,but you know that california weather is really unpredictable.
I just won tickets to my favorite band's concert!,excitement,No way! That's incredible! You're going to have the best time ever!
no.,neutral,he had dirty fingernails.
"four hours, without a break.",admiration,it's always nice to finish a job.
i'm so full i'm going to burst.,neutral,you should loosen your belt.
"don't believe him! whatever the tv ads tell you, the opposite is true.",neutral,"but the title of measure 1 is ""better schools at no cost."""
a third guy punched one of the two guys.,neutral,"i'll bet he was drinking, too."
do you like this house?,admiration,"yes, it's beautiful."
i can't believe he won the election.,neutral,only 15 percent of the voters turned out.
someone had to chop the wood.,neutral,and carry it into the house.
you're watching too much tv.,curiosity,what do you mean?
i don't have long distance service with my home phone.,neutral,so how do you make long distance calls?
the walls were so thin.,neutral,all day long we heard tvs or telephones.
i don't know.,neutral,it looks like blood.
maybe he had a good reason.,neutral,maybe he's just a liar.
i really wish i went to the game.,admiration,it was the best game ever.
i think i left the water running.,neutral,"no, you didn't. let's go! the only thing running is the clock!"
i think only the family will be there.,neutral,"you have lots of friends. they will be there, too!"
we can kill two birds with one stone.,curiosity,what do you mean?
i don't smell bad.,curiosity,that's what you think.
i don't mean good-looking. i mean good-smelling.,neutral,oh. but that can be a curse.
how about if i take shorter showers?,admiration,"that's a good idea, because showers waste a lot of water."
there's no sugar or cream in it.,neutral,"no, it's a taste you have to get used to."
"well, it's good and bad.",annoyance,what's bad about it?
you hit a white ball.,neutral,and then you chase it.
i love to eat the peanuts.,love,i love to eat the hot dogs.
what happened?,neutral,"first of all, he was half an hour late."
yesterday a pen fell through my pants onto my shoe.,neutral,lucky for you it wasn't a sharp knife.
My colleague keeps interrupting me during meetings.,annoyance,That's so frustrating! It's hard to get anything done when you keep getting interrupted. Maybe you can talk to them about it.
maybe you shouldn't eat there again.,neutral,i'm sure everything will be okay in a day or two.
i'll use a damp cloth.,neutral,don't let water get into any of the cracks.
when did you learn how to do that?,neutral,i learned back in high school.
that was a mistake.,neutral,he stayed on the thirteenth floor.
"yes, he pushed him off the hood of the car.",neutral,"no, he said he gently placed the boy on the street."
ha! we're not funny-looking; animals are funny-looking.,amusement,we're funny-looking because we wear clothes.
i'm not sleeping here tonight.,admiration,what's the matter? this is a nice room.
How did your presentation at work go?,relief,"It went well, and my boss was impressed. I'm relieved all the hard work paid off!"
that's very nice.,admiration,my dad got to see the beautiful new world war ii monument.
i made sure to be in line to see it the first day it came out.,neutral,i couldn't keep from laughing throughout the whole movie.
how many rich people do you know?,neutral,none.
they're in a different world.,neutral,i saw a painting of a jar that was full of pencils.
maybe we can go see a movie or something.,amusement,that sounds like fun. let's do it.
i would love it if it wasn't always so unpredictable.,neutral,that would make it easier for us to make plans.
once in a while is once too many.,approval,but you're right. there are a lot of fires.
"everybody loved him, all over the nation.",admiration,he helped make the yankees the best team ever.
oh really? i didn't know that.,neutral,are you serious?
i have to go shopping today.,neutral,you'd better take an umbrella.
his nails were black!,disgust,that's disgusting.
"so, what's the problem?",neutral,"i sent them $20 using my credit card, but they never sent me the solution."
do we need reservations?,neutral,"oh, no. we can walk right in."
what do you want me to do?,neutral,i want you to clean the bathroom.
i was on a plane.,neutral,so?
you don't like pretty women?,neutral,of course i do. but not on our flag!
"i apologized to her, but i could tell she was still upset.",neutral,maybe you shouldn't eat there again.
"well, that's okay.",remorse,"yeah, sorry."
so i should stop thinking?,neutral,stop thinking about what the point is.
"yes, it was.",love,why didn't she love you anymore?
"wear a jacket, too.",surprise,i wonder if i should bring my gloves.
i didn't know that.,neutral,i thought you knew.
and then i made lunch.,neutral,i'll bet you were hungry!
i was taught in high school how to draw and paint.,neutral,you had an art class?
don't be nosey.,desire,i'm not. i just want to know.
"hello, may i speak to alice please?",neutral,this is she. how's it going?
i didn't say that.,curiosity,what did you say?
"yes, it's cheaper than a hot dog or a beer.",neutral,where are the seats?
no. it's in southern california.,neutral,is pasadena a big city?
what are they?,neutral,they are bites.
i like that shirt.,neutral,so do i.
i enjoy listening to both rock and r&b.,neutral,what interests you in that type of music?
of course i heard that. i thought a plane had crashed into your house.,neutral,it wasn't that loud.
okay. i did something.,curiosity,what did you do?
what happened to the other student?,neutral,he landed on the hood of the car.
maybe in your next life you'll have blue eyes.,neutral,but what if i'm a fish in my next life?
"oh my god, that's great!",neutral,are you going to go and visit her and the baby?
that's a switch.,neutral,"i'm serious, have you?"
what happened before?,neutral,my hard drive crashed.
they're very comfortable.,neutral,how much were they?
"i'm sure i'll like it, too.",neutral,you should try riding a mule on a trail to the bottom.
so?,neutral,"so, every time the plane goes up, my ear starts to hurt."
i think that i might.,neutral,good! i just thought i'd let you know.
i have to get off the phone now.,neutral,i'm not ready to get off the phone with you.
will you look at this form?,neutral,are you having problems with it?
we don't do anything.,neutral,maybe we should honk the horn next time.
sure. why do you need it?,neutral,i want to buy lunch.
have you heard my good news?,annoyance,you haven't told me anything yet.
what about the baseball game?,neutral,it got rained out.
have you heard about jessica's party on saturday?,neutral,"i've heard about it, but i'm still waiting for my invitation."
no. it costs too much money.,neutral,doesn't crime cost more than police?
i think we are!,approval,"well, that's okay, as long as it helps him relax and think more clearly."
i love boiled peanuts.,neutral,boiled? i never heard of that.
that's good to hear.,neutral,will you go and visit them?
he's been in jail three times already.,neutral,why did they ever let him out?
where have you looked?,neutral,i haven't looked anywhere yet.
here you go.,neutral,do you know why i pulled you over?
all they think about is themselves.,neutral,maybe we should get rid of him.
i'm having a party this friday.,disapproval,i had no idea.
i'm looking in the newspaper for a job.,optimism,good luck!
it's on the tip of my finger.,neutral,a band-aid might not work.
he wanted to take it home yesterday.,surprise,i wonder what he'll name it.
then they're worth every penny.,neutral,you might want to buy a pair.
"yes, i looked there, too.",neutral,don't we have about five sharpeners?
i don't see anything.,neutral,i bought lots of oranges and apples.
what's up?,neutral,"nothing, how about you?"
they say that we are funny-looking.,amusement,ha! we're not funny-looking; animals are funny-looking.
people take care of their lawns.,neutral,no rusty old cars are sitting in the front yards.
check out the silverware.,neutral,it passes inspection.
but i do all my writing with my right hand.,neutral,start typing instead. that way your left hand will do half the work.
I won the championship game for my soccer team with a last-minute goal!,pride,Wow! Winning the championship game with a last-minute goal is an unforgettable achievement. You should be proud of your skill and determination on the field!
How was the family reunion?,embarrassment,"It was okay until I accidentally knocked over the dessert table in front of everyone. I felt like such a klutz, I wanted to sink into the floor."
it smells so bad.,neutral,one cigarette stinks up the whole sidewalk.
Did you anticipate the surprise appearance of a comet in the night sky?,surprise,Not at all! I was amazed when I looked up and saw it. It was such a rare and beautiful sight.
i'm falling asleep on the phone.,neutral,you got up real early.
don't wipe your nose on your sleeve.,neutral,but i don't have a tissue.
i like the ones i can sing along with.,love,"so do i, like ""she loves you."""
Did you manage to find a solution to the problem with your computer?,relief,"Yes, it was just a simple fix. I'm relieved it wasn't anything serious."
why did they ever let him out?,neutral,it's the law. they can't keep him in jail forever.
sounds good. what did you have in mind?,neutral,i was thinking about seeing a movie.
I graduated from culinary school at the top of my class!,pride,Congratulations! Graduating from culinary school at the top of your class is a significant achievement. You should be proud of your culinary skills and expertise!
who makes up all these jokes?,neutral,who knows? but there must be a hundred new ones every day.
how were you sick?,neutral,i had a stomachache.
How did you feel when you discovered the hidden treasure in your backyard?,surprise,"I was utterly surprised! I never imagined there could be anything buried there, let alone treasure."
my husband died.,remorse,i'm sorry for you.
i had the worst date the other night.,curiosity,what happened?
i think you'll love the food.,neutral,i'm not going to eat any snails!
i went to see it the day it came out.,amusement,i was laughing through the whole movie.
i've been trying to call you all day.,remorse,sorry about that. i was cleaning up.
it's such a chore.,neutral,"brush, brush. spit, spit."
only 11 percent?,neutral,about 50 percent of the time he's traveling.
probably not.,curiosity,why is that?
they said about 30 houses burned to the ground.,neutral,and they were expensive houses.
thirty thousand dollars! that will take forever.,neutral,not if we save every penny.
someone has to win.,neutral,that's what everyone says.
"actually, i want him to look at our carpet, too.",approval,"yes, it would be nice if he'd give us a new carpet."
what do you need for school?,neutral,i need pencils.
the world needs more polite people like us.,approval,i agree 100 percent.
How did you feel when you received a surprise gift from your significant other for no reason at all?,surprise,I was touched! It was such a sweet and unexpected gesture. It made me feel really loved.
i like listening to different kinds of music.,neutral,"like what, for instance?"
you don't want to do that.,confusion,why not?
i really like this house.,neutral,can we afford it?
do you see all this gray hair? it was totally black five years ago.,neutral,maybe i'll teach middle school.
I didn't get the birthday present I was hoping for.,disappointment,"I'm sorry you didn't get what you wanted. It's disappointing, but maybe there's a surprise in store for you."
i know. every day the weather seems different.,love,i would love it if it wasn't always so unpredictable.
this is such a long light.,neutral,look how many cars are waiting in line.
have you heard from them?,neutral,not yet. it's been a week.
thank you. i just got this outfit the other day.,curiosity,"really, where did you get it?"
how much is it?,neutral,it's one dollar for 100 minutes.
of course i do. but not on our flag!,neutral,every nation should have a pretty woman on their flag.
Did you apologize to your coworker for taking credit for their idea?,remorse,"Yes, I felt terrible for not giving them credit. I apologized sincerely and acknowledged their contribution."
what college do you go to?,neutral,i go to pasadena city college.
it's more than just a date.,neutral,is it your birthday or anniversary?
have you tried earplugs?,neutral,"they don't work, either."
"well, would you like to go?",gratitude,"thank you for inviting me, but i think i'll pass."
did you hear that?,neutral,of course i heard that. i thought a plane had crashed into your house.
can they take their belongings?,neutral,"yes, if they do it quickly."
the baby was 8 pounds 6 ounces.,admiration,that's good to hear.
or artists.,neutral,they're in a different world.
i'll get the yellow pages for an eye doctor.,neutral,read the phone number to me.
the city is buying guns.,neutral,what are they paying?
did you hear about the pilot?,neutral,the one that stole a small plane?
"yes, they don't like troublemakers or complainers.",admiration,"i can't quit, because i'm making a good salary."
Do you ever reflect on the journey of self-discovery?,realization,"Yes, I often reflect on my journey of self-discovery and realize how much I've grown and evolved as a person along the way."
they sure do.,neutral,they like guys with new cars.
i'll just take it out to the street tomorrow morning.,disapproval,"oh, no, you don't."
i wasn't done talking to you.,neutral,"i have to do some things, and besides, it's not polite to be nosey."
he's rude and he yells a lot.,neutral,that's hard to take.
I'm about to move to a new city where I don't know anyone.,nervousness,"Moving to a new city can be nerve-wracking, but also an exciting opportunity for growth and adventure. Embrace the unknown and take it one step at a time."
no. that's incomplete.,curiosity,what do you mean?
Did you anticipate the surprise announcement of a new addition to the family during the holiday dinner?,surprise,Not at all! It was such a joyful surprise. I couldn't believe the news at first.
i don't like riding the bus.,confusion,why not?
"my dad went to washington, d.c.",curiosity,why did he do that?
"okay, i'll get the vacuum cleaner.",neutral,don't vacuum it now.
that's a lot.,curiosity,what do you mean?
"i know, it does sound pretty awesome.",neutral,"well, when does the party start?"
swiss.,neutral,"of course, the cheese with holes in it."
it works only in canada.,neutral,did the seller know that?
now he's slowing down.,neutral,maybe he ran out of gas.
"what does she look like, though?",admiration,she has pretty light brown eyes.
that's what i need to do.,neutral,he'll give you a prescription for glasses.
"oh, i just wanted to see if you wanted to hang out tomorrow.",curiosity,"sure, what did you want to do?"
why don't you wash it?,curiosity,that's what i'm going to do.
especially on these slick floors.,neutral,someone who slips could hurt their back.
what's your favorite movie?,love,my favorite movie is superbad.
why would i date someone i don't even know?,excitement,to try something new and exciting.
i would never want to be president.,neutral,but think about all the power you'd have.
a great burger and great service.,approval,"yes, the workers are very polite."
they're behind the outfield.,neutral,maybe we can catch a home run ball.
do you think i'm getting fat?,disapproval,i didn't say that.
i really don't want to go by myself.,neutral,"well anyway, do you plan on going to school tomorrow?"
let me help you.,neutral,"what does ""mi"" mean?"
what about the pillowcases?,neutral,"yes, i took them off the pillows and washed them."
what do you like about it?,neutral,we get a free breakfast.
yes. i've never been there.,neutral,i was there when i was a kid.
shake it a couple of times.,neutral,i shook it. there is no more ink.
Did you receive the reimbursement for your expenses?,relief,"Yes, the reimbursement finally came through. I'm relieved I don't have to worry about covering those costs anymore."
i go to pasadena city college.,neutral,do you like it?
who were you writing to?,neutral,it's to my mom.
rich people think they're better than us.,neutral,how many rich people do you know?
i hope that i'll see you there.,neutral,no doubt.
I learned a new language fluently and had a conversation with a native speaker!,pride,Congratulations! Learning a new language fluently is a remarkable achievement. You should feel proud of your linguistic skills and cultural understanding!
did you put the letter in an envelope?,neutral,"yes, and i sealed the envelope."
it's a paper cut.,neutral,paper can be dangerous.
our cousin went into labor and had her baby last week.,curiosity,she did? why didn't anyone tell me?
i got laid off because there was no work.,curiosity,what else can you do?
especially on toast.,admiration,"and the pickles were great, too."
"oh, no. our ashes will be shaken into the ocean.",neutral,you're not going to be buried?
My alarm clock keeps going off even though it's set for later.,annoyance,That's so irritating! Waking up to a false alarm can be so disruptive. Maybe you can try adjusting the settings or getting a new alarm clock.
you know the rules.,anger,i hate the rules! i can't wait till i grow up.
i hope they fit.,optimism,i hope you kept the receipt.
there's no food in the woods.,neutral,can't they eat grass?
"that was a great trip to washington, d.c.",neutral,"tell me about it, dad."
what do you mean?,neutral,"when you die and go to heaven, they will offer you beer or cigarettes."
there's something wrong with my orange.,confusion,what's wrong?
he apologized to the fans.,neutral,the league suspended him for 50 games.
"voting is so important, but people don't bother.",neutral,many people think their vote doesn't matter.
"i mean, are you going to get buried or cremated?",neutral,my wife and i will be cremated.
Were you concerned about the storm affecting your travel plans?,relief,"Yes, but luckily the storm passed without causing any major disruptions. I'm relieved we were able to travel safely."
it's not in my wallet.,neutral,your wallet is empty?
you're right.,neutral,"well, listen to me. you need to buy a ticket now."
it wasn't that loud.,neutral,"i will blow my nose sometime for you, and you'll see."
so how do you plan to become rich?,neutral,i will knock on the doors of all the corporations.
i was a painter.,curiosity,what happened?
i'm doing great. what about you?,gratitude,"i'm absolutely lovely, thank you."
"no, i haven't.",admiration,i got a promotion at my job.
How do you feel about not being honest with your parents about a significant issue?,remorse,I regret not being upfront with them. I feel a deep sense of remorse for not trusting them enough and am committed to being more open and honest in the future.
about 50 percent of the time he's traveling.,neutral,where does he travel to?
then i did my laundry.,neutral,that takes some time.
i haven't seen her yet.,admiration,i think that she is very pretty.
how long was the flight?,neutral,it only took about two hours.
they had fireplaces.,neutral,someone had to chop the wood.
"i love to watch ""judge judy.""",neutral,is that a tv show?
"yes, it does. it's only $20.",admiration,that's a great price.
"no, you didn't. i checked the stove before we left.",confusion,are you sure?
How do you feel about your recent career decisions?,realization,I've had a moment of realization where I understand that my recent career decisions have led me closer to my true passions and purpose in life.
Were you prepared for the surprise performance by a famous musician at your friend's wedding?,surprise,No way! I was completely taken aback when they took the stage. It was an unforgettable moment.
it's not too big.,disapproval,and it's not too small.
don't you ever cheat on me.,curiosity,why would i do that?
great. which one?,neutral,that one. a group of eight just sat down at it.
i especially love the night air when it rains.,curiosity,really? why?
"well, i guess if it ever does get old, i'll change to something different.",neutral,do you eat fruits and vegetables every day?
"it's time for your bath, young lady.",disapproval,"but, mom, i'm not dirty."
How do you feel about the recent breakup of a close friendship?,sadness,I'm feeling really down about it. Losing such a close friend has left a void in my life.
did it get any better?,neutral,i'm still feeling under the weather.
the sky looks so clean after it rains. i love it.,neutral,i understand. rain does make it smell cleaner.
somebody should check his birth record.,neutral,i bet it says he was born on mars.
"in the middle of the summer, it shouldn't be raining.",approval,that wouldn't seem right.
i went to macy's and picked it out.,love,i love your outfit right now.
i'm eating so much bread that i'm getting full.,neutral,then stop eating the bread!
Did you enjoy the office party?,embarrassment,"Not really. I spilled wine on my boss's shirt while trying to make small talk. I felt so embarrassed, I couldn't face anyone for the rest of the night."
where do you go to watch people?,neutral,my girlfriend and i sit outside starbucks.
i think we should just leave after we fill up on the bread.,neutral,they probably wouldn't like that.
"there's a new girl in school, have you seen her yet?",admiration,i haven't seen her yet.
i haven't even lost one pound of fat?,neutral,"if you want to lose fat, you've got to do this hike every day."
"and when elected, they go their own way.",neutral,they forget who put them in power.
what are you going to do with an english major?,neutral,i'm going to be a teacher.
of course.,neutral,when is he coming?
so are they going to hold another election?,neutral,no. that will cost too much money.
how come?,neutral,you can see the stars so much more clearly after it rains.
"yes, he did. his cat died, too.",annoyance,that's too bad. what about his smoke alarm?
i'll do that in a minute.,neutral,the cat is meowing. he's hungry.
when you go to church?,neutral,"no, when i call him on his cell phone."
i need to withdraw some money.,curiosity,how are you going to do that?
what do you mean?,neutral,what's your mailing address?
"i've heard about it, but i'm still waiting for my invitation.",admiration,really? i got mine from her this morning.
i was missing you too.,curiosity,"so, why haven't you visited me?"
of course you are. you ate everything on the table.,neutral,i don't like to eat leftovers.
what do you mean?,neutral,i mean you're wasting your life.
it's a great price. but you have to dial a lot of numbers.,neutral,how many?
i'll bet this is the first time you've ever flown during christmas.,approval,you're right.
"it usually gets here at noon on tuesday, which is tomorrow.",neutral,i'll just take it out to the street tomorrow morning.
"no, i never did. all i know is that i got a's and b's in school.",desire,i wish i was really smart.
"no, a real breakfast.",neutral,bacon and eggs?
i want to move to new york.,neutral,to the state or the city?
which one?,neutral,any one. i need to sharpen this pencil.
of course. i have lots of best friends.,admiration,how many best friends do you have?
i have no idea. all of a sudden i heard your siren.,neutral,you rolled through that stop sign back there.
"i can't quit, because i'm making a good salary.",neutral,you shouldn't choose money over happiness.
"i can smell you, too.",neutral,that's my perfume.
hmm. i have only one best friend.,remorse,i feel sorry for you.
is that right? this is a brand new outfit.,neutral,what store did you get it from?
How do you feel about not donating to the charity event despite having the means to do so?,remorse,I regret not contributing. I feel a sense of remorse for not helping those in need when I had the opportunity.
who cares? everyone is strange.,approval,that's for sure.
"yes, i did.",neutral,and?
i'm going to the bank.,curiosity,what do you need to do?
i was busy doing something. i apologize.,neutral,no problem.
you might even dream about dinner.,neutral,i don't think i'm going to dream about anything. i'm really tired.
i can't remember jokes.,neutral,neither can i.
of course they're clean. you left all the mud on the carpet.,neutral,"okay, i'll get the vacuum cleaner."
that's nice.,neutral,are you going to be there?
wow! that's terrible.,approval,"yes, it was."
i called hp about my computer.,neutral,what did they say?
"well, i have to go back upstairs anyway.",neutral,it's getting later every minute.
now you're thinking.,neutral,you'd think a library would be safe from thieves.
we'll grow old together.,joy,and be happy together.
you can borrow mine.,gratitude,thank you. i'll buy a new one tomorrow.
have you done your homework?,disapproval,not yet.
eight.,admiration,they're all so cute.
How do you feel about not attending your sister's graduation ceremony?,remorse,I regret not being there to support her. I feel a deep sense of remorse for missing such an important milestone in her life.
I'm about to have a difficult conversation with a loved one.,nervousness,"Having difficult conversations can be nerve-wracking, but important for growth and understanding. Speak from the heart and listen with empathy."
i was doing my homework.,neutral,the cat doesn't care about your homework.
"yes, i dried everything in the dryer.",curiosity,then what did you do?
why is that?,neutral,because i watch the other players.
"no, i didn't feel like it.",admiration,"that's nice, have you been to the movies lately?"
he spoke to them and made them feel better.,neutral,did he speak to every family that lost a soldier?
who are you voting for?,neutral,i'm not voting for the mayor.
"no, it's a taste you have to get used to.",neutral,sort of like beer.
i took something earlier.,neutral,get better.
okay. i'll tell you how the show ends.,neutral,zzz.
some people would just pick it up.,neutral,"yes, i know. some people are rude."
same here.,love,i bought the movie. would you like to come to my house and watch it?
all the tv stations are going to go digital.,neutral,"yes, that will occur next month."
"yes, i did.",curiosity,what did you buy?
"if i smelled bad, i could smell me.",neutral,i can smell you.
"i like winter too, but sometimes it gets too cold.",neutral,i'd rather be cold than hot.
i have a honda.,neutral,is it new?
high school.,neutral,i teach high school english.
"well, if i have a big test at school.",neutral,does god answer your prayers?
i think we should really do something sometime.,amusement,that should be loads of fun.
i'm in love with that girl.,neutral,have you told her?
"so, what do we do?",neutral,we don't do anything.
who in the world is ralph nader?,admiration,he's the best man for president.
what did you say to her?,neutral,"i had two pineapples in my cart, and she asked where i had found them."
"well, it was nice talking to you.",admiration,it was nice talking to you too.
"every time we eat out, it's an adventure.",neutral,"last time, we got seats next to the kitchen."
i ate free cheese and meat every day.,admiration,that sounds like a great job.
why didn't you go before we left?,neutral,"i did, but i have to go again."
did you take pictures at the world war ii monument?,approval,"oh, yes. we all took lots of pictures."
it's worse than that.,curiosity,how so?
Were you sad about not being able to attend your sibling's graduation ceremony?,sadness,"Yes, it's heartbreaking to miss such an important milestone in their life."
"oh, yes. we all took lots of pictures.",neutral,then you flew back home that evening?
i found out that she gave it to her new boyfriend.,curiosity,why did she do that?
"i would've come to see you sooner, but i've been busy too.",curiosity,what have you been doing?
i was not looking at her.,neutral,"you were, too."
"they are clean, too.",neutral,did you shine your shoes?
"yeah, let's do that.",neutral,"okay, until next time then."
"man, that was a really close game.",admiration,that's what made it so great.
"just lettuce, tomato, and celery.",neutral,that's it?
so it won't get sick. just like you get shots.,anger,i hate shots.
I completed a challenging yoga teacher training program and received my certification!,pride,Congratulations! Completing a challenging yoga teacher training program is a major accomplishment. You should feel proud of your dedication to your practice and your journey to becoming a certified yoga teacher!
you mean like tiger?,admiration,"no, like a good amateur golfer."
